name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Sher e bangla dhaka,2023-01-01T00:00:00,16.4,16.4,14.3,87.4,0,0,,0,0,7.9,0,0,1018.7,0,2.5,0,0,0,10,Clear,clear-night,"VGHS,41923099999,41922099999"
Sher e bangla dhaka,2023-01-01T01:00:00,18.5,18.5,16,85.54,0,0,,0,0,9,0,0,1018,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T02:00:00,18,18,16,88.1,0,0,,0,0,10.1,4,32,1017.5,0,1,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T03:00:00,15.2,15.2,14.3,94.2,0,0,,0,0,10.1,1.3,50,1018.5,0,1.8,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Sher e bangla dhaka,2023-01-01T04:00:00,16.5,16.5,15.5,93.81,0,0,,0,0,9.7,2.5,50,1018,89.1,0.5,0,0,0,10,Partially cloudy,fog,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T05:00:00,16,16,15,93.79,0,0,,0,0,9,0,0,1018,89.1,0,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T06:00:00,14.6,14.6,14.3,97.98,0,0,,0,0,6.8,0,66.6,1018.5,89.1,1.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Sher e bangla dhaka,2023-01-01T07:00:00,15,15,14,93.75,0,0,,0,0,6.1,0,0,1019,89.1,0,3,0,0,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T08:00:00,17,17,16,93.84,0,0,,0,0,7.2,0,0,1020,89.1,0,117,0.4,1,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T09:00:00,16.1,16.1,15.3,94.68,0,0,,0,0,7.9,0,42.4,1021.2,89.3,2.3,323,1.2,3,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Sher e bangla dhaka,2023-01-01T10:00:00,18,18,17,93.88,0,0,,0,0,7.6,0,0,1021,89.1,0,506,1.8,5,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T11:00:00,19,19,17,88.19,0,0,,0,0,7.9,7.6,100,1021,50,1,640,2.3,6,10,Partially cloudy,partly-cloudy-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T12:00:00,21.6,21.6,14.8,65.3,0,0,,0,0,8.6,7.5,7,1020.2,50,3.3,712,2.6,7,10,Partially cloudy,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Sher e bangla dhaka,2023-01-01T13:00:00,21,21,17,77.92,0,0,,0,0,10.4,9.4,60,1019,0,2,715,2.6,7,10,Clear,clear-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T14:00:00,22,22,16,68.77,0,0,,0,0,12.2,14.8,60,1018,0,2,649,2.3,6,10,Clear,clear-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T15:00:00,23.5,23.5,13.5,53.42,0,0,,0,0,11.9,3.1,38,1017.2,0,3.8,520,1.9,5,10,Clear,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999"
Sher e bangla dhaka,2023-01-01T16:00:00,23,23,13,53.32,0,0,,0,0,12.2,0,0,1017,0,3,340,1.2,3,10,Clear,clear-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T17:00:00,22,22,13,56.66,0,0,,0,0,11.9,0,0,1017,0,3,134,0.5,1,10,Clear,clear-day,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T18:00:00,19.9,19.9,13.8,68.02,0,0,,0,0,15.1,0,0,1017.4,0,3,5,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Sher e bangla dhaka,2023-01-01T19:00:00,20,20,13,64.07,0,0,,0,0,16.9,0,0,1018,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T20:00:00,20,20,14,68.38,0,0,,0,0,12.6,0,0,1019,0,3,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
Sher e bangla dhaka,2023-01-01T21:00:00,17.4,17.4,15,85.83,0,0,,0,0,10.8,1.3,60,1019.1,0,3,0,0,0,10,Clear,clear-night,"VGHS,41941099999,41923099999,41929099999,41922099999"
Sher e bangla dhaka,2023-01-01T22:00:00,20,20,15,72.94,0,0,,0,0,10.1,0,0,1019,0,2,0,0,0,10,Clear,clear-night,"VGHS,41922099999"
